Time (ms),Channel A (mV),Channel B (V)
-7.23967908,3.96130300,0.76406140
-7.23455908,2.21564400,0.76406140
-7.22943908,2.21564400,0.76406140
-7.22431908,2.21564400,0.76406140
-7.21919908,2.21564400,0.76406140
-7.21407908,2.21564400,0.76406140
-7.20895908,2.21564400,0.76406140
-7.20383908,2.21564400,0.76406140
-7.19871908,2.21564400,0.75527210
-7.19359908,0.46998500,0.76406140
-7.18847909,0.46998500,0.76406140
-7.18335909,0.46998500,0.76406140
-7.17823909,-1.27567400,0.76406140
-7.17311909,0.46998500,0.76406140
-7.16799909,-1.27567400,0.76406140
-7.16287909,-1.27567400,0.76406140
-7.15775909,-1.27567400,0.75527210
-7.15263909,-1.27567400,0.75527210
-7.14751909,-1.27567400,0.75527210
-7.14239909,-1.27567400,0.75527210
-7.13727909,-1.27567400,0.75527210
-7.13215909,-3.02133300,0.74648270
-7.12703909,-3.02133300,0.74648270
-7.12191909,-3.02133300,0.73769340
-7.11679909,-4.77309500,0.74648270
-7.11167909,-4.77309500,0.74648270
-7.10655909,-3.02133300,0.74648270
-7.10143909,-4.77309500,0.73769340
-7.09631909,-4.77309500,0.74648270
-7.09119909,-4.77309500,0.73769340
-7.08607909,-4.77309500,0.73769340
-7.08095909,-4.77309500,0.73769340
-7.07583909,-4.77309500,0.73769340
-7.07071909,-4.77309500,0.72890410
-7.06559909,-4.77309500,0.72890410
-7.06047909,-6.51875400,0.72890410
-7.05535909,-6.51875400,0.72011480
-7.05023909,-8.26441300,0.72890410
-7.04511909,-6.51875400,0.72890410
-7.03999909,-8.26441300,0.72011480
-7.03487909,-8.26441300,0.72011480
-7.02975909,-8.26441300,0.71132540
-7.02463909,-8.26441300,0.71132540
-7.01951909,-8.26441300,0.71132540
-7.01439909,-8.26441300,0.70253610
-7.00927909,-8.26441300,0.70253610
-7.00415909,-8.26441300,0.69377730
-6.99903909,-8.26441300,0.69377730
-6.99391909,-8.26441300,0.69377730
-6.98879909,-10.01617000,0.69377730
-6.98367909,-10.01617000,0.69377730
-6.97855909,-10.01617000,0.68498800
-6.97343909,-10.01617000,0.68498800
-6.96831909,-11.76183000,0.68498800
-6.96319909,-11.76183000,0.67619860
-6.95807909,-11.76183000,0.66740930
-6.95295909,-11.76183000,0.66740930
-6.94783909,-11.76183000,0.65861990
-6.94271909,-13.50749000,0.65861990
-6.93759909,-11.76183000,0.65861990
-6.93247909,-11.76183000,0.65861990
-6.92735909,-11.76183000,0.64983060
-6.92223909,-13.50749000,0.64983060
-6.91711909,-13.50749000,0.64104130
