Frequency,Channel A,Channel B
(kHz),(dBu),(dBu)

13.54217529,-84.36331000,-66.31325000
13.58985901,-78.68816000,-50.90882000
13.63754272,-81.71242000,-50.59315000
13.68522644,-83.32974000,-53.84777000
13.73291016,-78.17182000,-49.16500000
13.78059387,-84.06604000,-46.28419000
13.82827759,-81.67987000,-45.83466000
13.87596130,-79.15250000,-45.17042000
13.92364502,-83.28374000,-47.27779000
13.97132874,-82.34807000,-50.18951000
14.01901245,-78.39513000,-51.13017000
14.06669617,-85.01979000,-51.94214000
14.11437988,-80.48767000,-52.36919000
14.16206360,-78.83001000,-51.48446000
14.20974731,-86.08096000,-47.82104000
14.25743103,-80.31509000,-48.08942000
14.30511475,-79.57809000,-46.70639000
14.35279846,-85.18699000,-47.19986000
14.40048218,-80.31023000,-56.82806000
14.44816589,-78.91977000,-49.47163000
14.49584961,-87.80496000,-50.41485000
14.54353333,-78.91879000,-60.21067000
14.59121704,-80.28683000,-57.34393000
14.63890076,-85.21336000,-52.54025000
14.68658447,-79.55821000,-49.98413000
14.73426819,-80.34616000,-51.38092000
14.78195190,-86.02293000,-55.90988000
14.82963562,-78.85603000,-54.78873000
14.87731934,-80.46527000,-50.11189000
14.92500305,-85.07320000,-53.67192000
14.97268677,-78.37665000,-56.80030000
15.02037048,-82.35244000,-49.70057000
15.06805420,-83.25810000,-49.29202000
15.11573792,-79.15565000,-51.83346000
15.16342163,-81.69966000,-48.03940000
15.21110535,-84.06633000,-48.35666000
15.25878906,-78.18612000,-49.85822000
15.30647278,-83.28622000,-54.43573000
15.35415649,-81.73447000,-64.47069000
15.40184021,-78.66245000,-57.83046000
15.44952393,-84.41021000,-54.86968000
15.49720764,-81.64433000,-55.80128000
15.54489136,-79.04362000,-59.07369000
15.59257507,-83.94527000,-68.07385000
15.64025879,-81.31783000,-68.55125000
15.68794250,-78.38344000,-55.45699000
15.73562622,-86.88652000,-51.88578000
15.78330994,-79.76021000,-54.85439000
15.83099365,-79.60653000,-63.91935000
15.87867737,-85.32734000,-49.53221000
15.92636108,-80.40334000,-47.79314000
15.97404480,-79.35512000,-48.54084000
16.02172852,-86.60995000,-58.55825000
16.06941223,-79.31213000,-56.03521000
16.11709595,-79.54205000,-50.54705000
16.16477966,-86.56880000,-51.15837000
16.21246338,-78.87467000,-51.91340000
16.26014709,-81.00603000,-51.96976000
16.30783081,-84.72805000,-54.70215000
16.35551453,-79.43092000,-56.07670000
16.40319824,-80.35260000,-53.75246000
16.45088196,-86.01784000,-52.84198000
16.49856567,-78.26337000,-56.40120000
16.54624939,-81.79436000,-57.13122000
16.59393311,-83.25388000,-60.82484000
16.64161682,-78.77564000,-58.07862000
16.68930054,-82.61206000,-63.50558000
16.73698425,-83.29637000,-53.43517000
16.78466797,-78.79633000,-54.62986000
16.83235168,-82.38028000,-55.03711000
16.88003540,-82.67346000,-51.82426000
16.92771912,-78.14227000,-50.87236000
16.97540283,-85.00423000,-52.66203000
17.02308655,-80.92393000,-65.63379000
17.07077026,-79.21969000,-52.89616000
17.11845398,-84.18436000,-58.22632000
17.16613770,-81.58745000,-58.83899000
17.21382141,-78.68641000,-52.53159000
17.26150513,-85.64702000,-48.29535000
17.30918884,-80.07320000,-45.88583000
17.35687256,-78.93357000,-49.03255000
17.40455627,-86.79353000,-61.18607000
17.45223999,-79.68228000,-53.51593000
17.49992371,-80.01344000,-57.28220000
17.54760742,-85.32990000,-56.66526000
17.59529114,-79.99033000,-54.21391000
17.64297485,-79.32552000,-64.51573000
17.69065857,-87.55375000,-51.61290000
17.73834229,-78.62984000,-50.56770000
17.78602600,-80.64571000,-58.11019000
17.83370972,-84.77274000,-53.54998000
17.88139343,-79.17251000,-48.35397000
17.92907715,-81.08739000,-48.62626000
17.97676086,-85.07157000,-54.01468000
18.02444458,-78.82775000,-53.69496000
18.07212830,-80.98189000,-58.82364000
18.11981201,-84.35523000,-56.74224000
18.16749573,-78.18819000,-52.51080000
18.21517944,-83.15358000,-51.35165000
18.26286316,-82.38407000,-56.13897000
18.31054688,-79.10923000,-66.45537000
18.35823059,-82.56623000,-63.96146000
18.40591431,-83.13870000,-53.55341000
18.45359802,-78.31866000,-51.95274000
18.50128174,-83.97202000,-51.87196000
18.54896545,-81.15791000,-46.74162000
18.59664917,-78.62177000,-45.11901000
18.64433289,-85.48672000,-47.62997000
18.69201660,-80.82101000,-51.73553000
18.73970032,-79.34087000,-48.38034000
18.78738403,-84.59579000,-45.20518000
