Time,Channel A,Frequency,Triangular,Rectangular,Channel A
(ms),(V),(kHz),(dBV),(dBV),(dBV)
,,,,,
-4.85855377,-0.4969329,17.07531063,-109.4233,-90.42819,-101.4592
-4.85804977,-0.08252205,17.13586138,-103.3384,-85.50517,-100.4159
-4.85754577,0.4987945,17.19641212,-102.1588,-103.3256,-97.92744
-4.85704177,0.06979583,17.25696287,-106.1402,-86.73808,-95.33966
-4.85653777,-0.5001984,17.31751362,-98.87582,-92.17154,-93.58398
-4.85603377,-0.05713065,17.37806437,-94.36601,-97.31999,-92.21748
-4.85552977,0.5013886,17.43861511,-93.41684,-83.99402,-91.31503
-4.85502577,0.04354991,17.49916586,-95.204,-104.014,-91.36617
-4.85452177,-0.5036775,17.55971661,-99.41496,-87.86206,-92.29641
-4.85401777,-0.03460799,17.62026735,-107.0596,-89.07506,-93.85138
-4.85351377,0.5047456,17.6808181,-101.4409,-93.17265,-95.75687
-4.85300977,0.02050844,17.74136885,-95.06123,-85.76756,-96.18929
-4.85250577,-0.5025483,17.80191959,-96.63751,-96.37748,-94.62109
-4.85200177,-0.00573748,17.86247034,-106.0054,-88.78686,-93.33649
-4.85149777,0.5056307,17.92302109,-107.1151,-88.64021,-93.77615
-4.85099377,-0.00448622,17.98357183,-98.49918,-99.01382,-95.41273
-4.85048977,-0.5044099,18.04412258,-97.90379,-84.97073,-95.62794
-4.84998577,0.01815851,18.10467333,-103.2966,-95.53592,-94.50819
-4.84948177,0.5055086,18.16522408,-101.581,-88.67993,-93.7896
-4.84897777,-0.03051851,18.22577482,-101.4277,-85.97512,-94.21268
-4.84847377,-0.5035554,18.28632557,-100.3696,-95.74821,-95.79126
-4.84796977,0.04464858,18.34687632,-98.96478,-86.06499,-97.30521
-4.84746577,0.5021515,18.40742706,-102.3332,-90.80995,-98.00709
-4.84696177,-0.05526902,18.46797781,-100.6628,-87.32303,-98.14751
-4.84645777,-0.4996796,18.52852856,-96.65211,-85.53561,-97.07763
-4.84595377,0.06930754,18.5890793,-96.23615,-95.64431,-95.78172
-4.84544977,0.4980316,18.64963005,-98.41206,-85.87793,-95.61511
-4.84494577,-0.07827998,18.7101808,-101.4915,-90.46197,-97.00789
-4.84444177,-0.4959563,18.77073154,-101.4808,-87.1012,-99.00989
-4.84393777,0.0933256,18.83128229,-101.085,-86.75484,-96.9996
-4.84343377,0.4959258,18.89183304,-99.51291,-104.3459,-94.18951
-4.84292977,-0.1077914,18.95238379,-95.84095,-85.65269,-92.81447
-4.84242577,-0.4909818,19.01293453,-93.96957,-88.4902,-91.79259
-4.84192177,0.117954,19.07348528,-95.45628,-86.9326,-90.85895
