Time,Channel A,Frequency,Rectangular,Hann,Flat-top
(ms),(V),(kHz),(dBV),(dBV),(dBV)
,,,,,
-4.87191418,0.5001678,15.44044046,-54.84326,-79.60717,-79.65213
-4.87141018,0.5002899,15.50099121,-79.96368,-97.05034,-103.2028
-4.87090618,0.5010224,15.56154196,-58.09675,-86.5649,-106.1031
-4.87040218,0.5007782,15.6220927,-62.74067,-92.24148,-95.92938
-4.86989818,0.5006561,15.68264345,-66.06147,-100.0006,-95.1067
-4.86939418,0.5017853,15.7431942,-62.8821,-91.08685,-93.2959
-4.86889018,0.5027619,15.80374495,-85.09,-108.3213,-91.09963
-4.86838618,0.5000153,15.86429569,-68.3894,-99.17603,-92.49178
-4.86788218,0.4998932,15.92484644,-75.03741,-93.52118,-94.33038
-4.86737818,0.5019074,15.98539719,-86.92001,-97.89848,-94.64902
-4.86687418,0.5001678,16.04594793,-98.27791,-94.64024,-98.66319
-4.86637018,0.5019074,16.10649868,-97.39482,-93.36005,-102.692
-4.86586618,0.503647,16.16704943,-72.52576,-105.4998,-99.72846
-4.86536218,0.5007782,16.22760017,-71.35277,-89.65936,-98.37327
-4.86485818,0.5013886,16.28815092,-73.17296,-89.27104,-93.30863
-4.86435418,0.5006561,16.34870167,-63.13184,-90.65388,-88.82243
-4.86385018,0.5000153,16.40925241,-71.9773,-92.84445,-89.30948
-4.86334618,0.499649,16.46980316,-61.07609,-84.08192,-92.20334
-4.86284218,0.5011445,16.53035391,-58.90218,-83.38096,-89.83849
-4.86233818,0.5007782,16.59090466,-66.9139,-86.40646,-70.54368
-4.86183418,0.5005341,16.6514554,-53.43546,-73.18009,-54.80715
-4.86133018,0.5016328,16.71200615,-59.90253,-77.85645,-44.22302
-4.86082618,0.5000153,16.7725569,-51.32319,-63.01139,-37.4729
-4.86032218,0.5013886,16.83310764,-47.41108,-52.80606,-33.63058
-4.85981818,0.5013886,16.89365839,-54.94947,-38.57841,-31.943
-4.85931418,0.499649,16.95420914,-34.90157,-32.77352,-31.54596
-4.85881018,0.5002899,17.01475988,-31.80534,-31.63271,-31.52987
-4.85830618,0.503647,17.07531063,-41.83237,-34.73553,-31.62009
-4.85780218,0.5016328,17.13586138,-45.27398,-43.32591,-32.48134
-4.85729818,0.4994049,17.19641212,-65.93023,-72.37302,-35.04554
-4.85679418,0.499649,17.25696287,-50.36623,-64.64954,-40.09236
-4.85629018,0.5006561,17.31751362,-57.57624,-77.34002,-48.41551
-4.85578618,0.5027619,17.37806437,-58.06593,-78.90373,-61.27338
-4.85528218,0.5009003,17.43861511,-55.91345,-80.40955,-82.34679
-4.85477818,0.5015107,17.49916586,-85.94486,-92.07301,-90.28883
-4.85427418,0.5022736,17.55971661,-58.6567,-91.64489,-89.09916
-4.85377018,0.499649,17.62026735,-64.42386,-86.6944,-90.96529
-4.85326618,0.5010224,17.6808181,-66.3708,-94.35135,-89.62015
-4.85276218,0.5000153,17.74136885,-63.70457,-96.84802,-88.76198
-4.85225818,0.5001678,17.80191959,-91.1386,-98.35086,-92.56796
-4.85175418,0.4991607,17.86247034,-68.85587,-95.85643,-94.78014
-4.85125018,0.5030061,17.92302109,-75.60405,-101.5722,-92.08864
-4.85074618,0.5017853,17.98357183,-83.94116,-101.5662,-92.60953
-4.85024218,0.5011445,18.04412258,-103.0727,-94.23486,-93.90616
-4.84973818,0.5011445,18.10467333,-92.86696,-94.46928,-93.26463
-4.84923418,0.499527,18.16522408,-73.65891,-97.75217,-92.88306
-4.84873018,0.5002899,18.22577482,-73.2178,-98.53456,-92.98415
-4.84822618,0.5000153,18.28632557,-72.59041,-97.89891,-96.62036
-4.84772218,0.5011445,18.34687632,-64.58043,-89.5409,-100.895
-4.84721818,0.5030061,18.40742706,-75.45378,-95.96132,-94.67339
-4.84671418,0.500412,18.46797781,-61.92075,-86.00623,-92.72498
-4.84621018,0.5005341,18.52852856,-60.58213,-83.19788,-111.2758
-4.84570618,0.5006561,18.5890793,-66.61002,-83.70328,-72.69193
-4.84520218,0.5002899,18.64963005,-54.52366,-74.77716,-56.26491
-4.84469818,0.5019074,18.7101808,-62.39524,-80.48637,-45.48128
-4.84419418,0.5010224,18.77073154,-51.99953,-63.87756,-38.61209
-4.84369018,0.5000153,18.83128229,-48.85983,-54.53535,-34.68424
-4.84318618,0.5010224,18.89183304,-54.12342,-39.82713,-32.93792
-4.84268218,0.4998932,18.95238379,-36.19225,-33.84776,-32.51283
-4.84217818,0.5013886,19.01293453,-32.6997,-32.57239,-32.49252
-4.84167418,0.500412,19.07348528,-42.0757,-35.52948,-32.57169
-4.84117018,0.5005341,19.13403603,-46.39206,-43.87774,-33.39252
-4.84066618,0.5007782,19.19458677,-63.48729,-69.76487,-35.88724
-4.84016218,0.5007782,19.25513752,-51.09242,-65.56612,-40.83569
-4.83965818,0.5000153,19.31568827,-59.33722,-78.35883,-49.00685
-4.83915418,0.4998932,19.37623901,-58.2778,-78.77444,-61.4794
-4.83865018,0.5015107,19.43678976,-56.98502,-81.20305,-78.79213
-4.83814618,0.5007782,19.49734051,-82.15061,-93.29912,-86.05355
-4.83764218,0.5010224,19.55789125,-59.41082,-88.17524,-87.63741
-4.83713818,0.5013886,19.618442,-65.57343,-92.81333,-87.67089
-4.83663418,0.4997711,19.67899275,-66.10861,-95.36598,-86.80203
-4.83613018,0.5017853,19.7395435,-64.74802,-88.54915,-86.51468
-4.83562618,0.5005341,19.80009424,-87.92343,-93.23714,-86.51932
-4.83512218,0.5007782,19.86064499,-68.94384,-90.21712,-88.06876
-4.83461818,0.5009003,19.92119574,-76.96056,-91.19101,-91.30424
-4.83411418,0.4990387,19.98174648,-83.47305,-101.5038,-93.20626
-4.83361018,0.5010224,20.04229723,-89.70033,-99.99689,-97.07648
-4.83310618,0.5013886,20.10284798,-91.31349,-104.2173,-100.4509
-4.83260218,0.5009003,20.16339872,-74.77677,-103.1021,-97.63917
-4.83209818,0.5006561,20.22394947,-75.34567,-94.55005,-98.67433
-4.83159418,0.5010224,20.28450022,-72.81487,-95.64691,-103.8799
-4.83109018,0.5011445,20.34505096,-65.92583,-88.68297,-113.1187
-4.83058618,0.5015107,20.40560171,-77.69335,-94.06497,-99.95937
-4.83008218,0.499649,20.46615246,-62.69398,-86.2867,-94.24353
-4.82957818,0.5012665,20.52670321,-61.94041,-85.91199,-92.73254
-4.82907418,0.5017853,20.58725395,-66.12631,-85.42407,-73.57935
-4.82857018,0.5005341,20.6478047,-55.55503,-75.2026,-57.43288
-4.82806618,0.5023957,20.70835545,-64.94753,-85.20745,-46.58199
-4.82756218,0.5005341,20.76890619,-52.60931,-64.78168,-39.62674
-4.82705818,0.5015107,20.82945694,-50.23068,-56.16713,-35.62497
-4.82655418,0.4991607,20.89000769,-53.60751,-40.97071,-33.82494
-4.82605018,0.499649,20.95055843,-37.38668,-34.81855,-33.37459
-4.82554618,0.5012665,21.01110918,-33.50173,-33.41103,-33.35288
-4.82504218,0.5010224,21.07165993,-42.28006,-36.2274,-33.4243
-4.82453818,0.4994049,21.13221067,-47.44859,-44.35648,-34.20709
-4.82403418,0.5005341,21.19276142,-61.81263,-68.4417,-36.63281
-4.82353018,0.499649,21.25331217,-51.82864,-66.05093,-41.4818
-4.82302618,0.5017853,21.31386292,-60.97139,-79.99072,-49.50639
-4.82252218,0.4992828,21.37441366,-58.61893,-77.70801,-61.72819
-4.82201818,0.5007782,21.43496441,-57.73269,-86.31075,-79.05546
-4.82151418,0.5025178,21.49551516,-76.40919,-110.1696,-89.35167
-4.82101018,0.5013886,21.5560659,-59.91802,-91.32473,-91.59807
-4.82050618,0.4990387,21.61661665,-67.31024,-90.02685,-94.31861
-4.82000218,0.499649,21.6771674,-66.56581,-91.83875,-93.48761
-4.81949818,0.5007782,21.73771814,-65.12089,-111.3012,-91.96133
-4.81899418,0.5011445,21.79826889,-85.27916,-96.97303,-95.97893
-4.81849018,0.5030061,21.85881964,-69.16706,-97.21206,-101.8291
-4.81798618,0.5006561,21.91937038,-77.8755,-98.22151,-101.7583
-4.81748218,0.5007782,21.97992113,-81.59402,-97.73376,-106.3159
-4.81697818,0.499527,22.04047188,-87.27848,-101.9715,-105.617
-4.81647418,0.4997711,22.10102262,-96.81178,-105.0044,-102.5554
-4.81597018,0.4998932,22.16157337,-76.51604,-106.5015,-103.0122
-4.81546618,0.5001678,22.22212412,-77.3157,-97.10802,-98.31082
-4.81496218,0.5026398,22.28267487,-73.81981,-100.3348,-96.79351
-4.81445818,0.4998932,22.34322561,-67.0909,-88.64417,-95.08858
-4.81395418,0.5019074,22.40377636,-79.31458,-96.23199,-89.9373
-4.81345018,0.5026398,22.46432711,-63.3143,-90.46977,-88.71097
-4.81294618,0.499649,22.52487785,-63.26645,-83.31404,-96.69762
