Time,Channel A
(ms),(V)

16.98918041,-0.31836910
16.99418041,-0.17984560
16.99918041,-0.02551347
17.00418041,0.12854400
17.00918041,0.27378150
17.01418041,0.38926360
17.01918041,0.47041230
17.02418041,0.50178530
17.02918041,0.48683120
17.03418041,0.42124700
17.03918041,0.31846060
17.04418041,0.18042540
17.04918041,0.02786340
17.05418041,-0.12958160
17.05918041,-0.27317120
17.06418041,-0.38767660
17.06918041,-0.46845910
17.07418041,-0.50267030
17.07918041,-0.48600730
17.08418041,-0.42326120
17.08918041,-0.31723990
17.09418041,-0.18097480
17.09918041,-0.02688681
17.10418041,0.12955110
17.10918041,0.27341530
17.11418041,0.39164400
17.11918041,0.46815390
17.12418041,0.50041200
17.12918041,0.48670920
17.13418041,0.41987370
17.13918041,0.31821650
17.14418041,0.18042540
17.14918041,0.02649007
17.15418041,-0.12796410
17.15918041,-0.27231670
17.16418041,-0.38917200
17.16918041,-0.46806240
17.17418041,-0.50141910
17.17918041,-0.48811300
17.18418041,-0.42301710
17.18918040,-0.31699580
17.19418040,-0.18308050
17.19918040,-0.02728355
17.20418040,0.12854400
17.20918040,0.27289650
17.21418040,0.38962980
17.21918040,0.47114470
17.22418040,0.50190740
17.22918040,0.48783840
17.23418040,0.42124700
17.23918040,0.31485940
17.24418040,0.18280590
17.24918040,0.02697836
17.25418040,-0.12869660
17.25918040,-0.27332380
17.26418040,-0.39066740
17.26918040,-0.46845910
17.27418040,-0.50267030
17.27918040,-0.48786890
17.28418040,-0.42390210
17.28918040,-0.31675160
17.29418040,-0.18356880
17.29918040,-0.02676473
17.30418040,0.12753680
17.30918040,0.27491070
17.31418040,0.39039280
17.31918040,0.46940520
17.32418040,0.50300610
17.32918040,0.48719750
17.33418040,0.42374950
17.33918040,0.31757560
17.34418040,0.18366040
17.34918040,0.02649007
17.35418040,-0.12707910
17.35918040,-0.27292700
17.36418040,-0.38816490
17.36918040,-0.46818440
17.37418040,-0.50154120
17.37918040,-0.48512220
17.38418040,-0.42301710
17.38918040,-0.31687370
17.39418040,-0.18033390
17.39918040,-0.02789392
17.40418040,0.12991730
17.40918040,0.27329330
17.41418040,0.39124730
17.41918040,0.47004610
17.42418040,0.50437940
17.42918040,0.48585470
17.43418040,0.42374950
17.43918040,0.31907100
17.44418040,0.18179880
17.44918040,0.02911466
17.45418040,-0.12869660
17.45918040,-0.27231670
17.46418040,-0.39066740
17.46918040,-0.46870330
17.47418040,-0.49980160
17.47918040,-0.48625140
17.48418040,-0.42289500
17.48918040,-0.31687370
17.49418040,-0.17972350
17.49918040,-0.02676473
17.50418040,0.12729270
17.50918040,0.27289650
17.51418040,0.39164400
17.51918040,0.46952730
17.52418040,0.50239570
17.52918040,0.48634300
17.53418040,0.42274240
17.53918040,0.31720940
17.54418040,0.18143250
